,ep,group,value,item
335,4,Group19,413.0,task_text
336,4,Group20,758.0,task_text
337,4,Group21,276.0,task_text
338,4,Group22,512.0,task_text
339,4,Group23,882.0,task_text
340,4,Group24,180.0,task_text
341,4,Group25,249.0,task_text
342,4,Group26,170.0,task_text
343,4,Group27,678.0,task_text
344,4,Group28,191.0,task_text
345,4,Group1,0.162,time
346,4,Group2,0.285,time
347,4,Group3,0.56,time
348,4,Group4,0.236,time
349,4,Group5,0.214,time
350,4,Group7,0.345,time
351,4,Group8,0.406,time
352,4,Group9,0.129,time
353,4,Group10,0.104,time
354,4,Group11,0.368,time
355,4,Group12,0.75,time
356,4,Group13,0.218,time
357,4,Group14,0.347,time
358,4,Group15,0.321,time
359,4,Group16,0.081,time
360,4,Group18,0.15,time
361,4,Group19,0.274,time
362,4,Group20,0.453,time
363,4,Group21,0.25,time
364,4,Group22,0.538,time
365,4,Group23,0.454,time
366,4,Group24,0.326,time
367,4,Group25,0.3,time
368,4,Group26,0.281,time
369,4,Group27,0.399,time
370,4,Group28,0.246,time
371,8,Group1,4.0,class
372,8,Group2,1.0,class
373,8,Group3,2.0,class
374,8,Group4,4.0,class
375,8,Group5,2.0,class
376,8,Group6,4.0,class
377,8,Group7,1.0,class
378,8,Group8,2.0,class
379,8,Group9,4.0,class
380,8,Group10,3.0,class
381,8,Group11,3.0,class
382,8,Group12,2.0,class
383,8,Group13,4.0,class
384,8,Group14,1.0,class
385,8,Group15,1.0,class
386,8,Group16,4.0,class
387,8,Group18,4.0,class
388,8,Group19,2.0,class
389,8,Group20,2.0,class
390,8,Group21,4.0,class
391,8,Group22,1.0,class
392,8,Group23,1.0,class
393,8,Group24,4.0,class
394,8,Group25,4.0,class
395,8,Group26,4.0,class
396,8,Group27,1.0,class
397,8,Group28,1.0,class
398,8,Group1,13.0,rubric
399,8,Group2,19.0,rubric
400,8,Group3,23.0,rubric
401,8,Group4,17.0,rubric
402,8,Group5,19.0,rubric
403,8,Group6,13.0,rubric
404,8,Group7,23.0,rubric
405,8,Group8,25.0,rubric
406,8,Group9,11.0,rubric
407,8,Group10,21.0,rubric
408,8,Group11,19.0,rubric
409,8,Group12,23.0,rubric
410,8,Group13,17.0,rubric
411,8,Group14,25.0,rubric
412,8,Group15,23.0,rubric
413,8,Group16,11.0,rubric
414,8,Group18,15.0,rubric
415,8,Group19,21.0,rubric
416,8,Group20,23.0,rubric
417,8,Group21,17.0,rubric
418,8,Group22,23.0,rubric
419,8,Group23,19.0,rubric
420,8,Group24,17.0,rubric
421,8,Group25,11.0,rubric
422,8,Group26,13.0,rubric
423,8,Group27,23.0,rubric
424,8,Group28,21.0,rubric
425,8,Group1,672.0,text
426,8,Group2,1238.0,text
427,8,Group3,1267.0,text
428,8,Group4,771.0,text
429,8,Group5,1247.0,text
430,8,Group6,758.0,text
431,8,Group7,1214.0,text
432,8,Group8,1325.0,text
433,8,Group9,546.0,text
434,8,Group10,957.0,text
435,8,Group11,905.0,text
436,8,Group12,1129.0,text
437,8,Group13,865.0,text
438,8,Group14,1540.0,text
439,8,Group15,2135.0,text
440,8,Group16,1051.0,text
441,8,Group18,843.0,text
442,8,Group19,1077.0,text
443,8,Group20,1338.0,text
444,8,Group21,563.0,text
445,8,Group22,1234.0,text
446,8,Group23,1257.0,text
447,8,Group24,621.0,text
448,8,Group25,737.0,text
449,8,Group26,1064.0,text
450,8,Group27,1971.0,text
451,8,Group28,1668.0,text
452,8,Group1,21.0,edit
453,8,Group2,17.0,edit
454,8,Group3,21.0,edit
455,8,Group4,9.0,edit
